title,description,videoUrl,instructors,category,level,isPublished,enrolledStudents
MERN Stack Bootcamp,"Learn full stack web development using MongoDB, Express.js, React.js, and Node.js by building real world projects with authentication, APIs, dashboards, and deployment.",https://www.youtube.com/watch?v=7CqJlxBYj-M,"[ObjectId('69f43975b1f44561851e9043'), ObjectId('69f43995b1f44561851e9044')]",Web Development,Intermediate,True,"[ObjectId('69f41634492dcdf7c0a47d99'), ObjectId('69f418cd492dcdf7c0a47d9a'), ObjectId('69f418e7492dcdf7c0a47d9b'), ObjectId('69f418fd492dcdf7c0a47d9c'), ObjectId('69f41923492dcdf7c0a47d9d'), ObjectId('69f41935492dcdf7c0a47d9e')]"
React Basics,Learn React fundamentals including components hooks and routing,https://www.youtube.com/watch?v=6Ied4aZxUzc,"[ObjectId('69f439b6b1f44561851e9045'), ObjectId('69f439deb1f44561851e9046')]",Web Development,Beginner,True,"[ObjectId('69f41950492dcdf7c0a47d9f'), ObjectId('69f4199b492dcdf7c0a47da0'), ObjectId('69f419b1492dcdf7c0a47da1'), ObjectId('69f419c8492dcdf7c0a47da2'), ObjectId('69f419d7492dcdf7c0a47da3'), ObjectId('69f419eb492dcdf7c0a47da4')]"
Advanced React Patterns,Master advanced React concepts like context reducers and performance optimization,,"[ObjectId('69f439f8b1f44561851e9047'), ObjectId('69f43a12b1f44561851e9048')]",Web Development,Advanced,True,"[ObjectId('69f41beb492dcdf7c0a47da9'), ObjectId('69f41c01492dcdf7c0a47daa'), ObjectId('69f41c15492dcdf7c0a47dab'), ObjectId('69f41c27492dcdf7c0a47dac'), ObjectId('69f41c7d492dcdf7c0a47dad'), ObjectId('69f41c8d492dcdf7c0a47dae')]"
Node API Development,Build scalable REST APIs using Node.js and Express,https://www.youtube.com/watch?v=dOFn7reHpuM,"[ObjectId('69f43a2ab1f44561851e9049'), ObjectId('69f43a3fb1f44561851e904a')]",Web Development,Intermediate,True,"[ObjectId('69f41f080d390c859f5599b5'), ObjectId('69f41f400d390c859f5599b6'), ObjectId('69f41f640d390c859f5599b7'), ObjectId('69f41f960d390c859f5599b8'), ObjectId('69f41fb80d390c859f5599b9'), ObjectId('69f41fd60d390c859f5599ba')]"
JavaScript Fundamentals,Core JavaScript concepts including ES6 closures and async programming,https://www.youtube.com/watch?v=PkZNo7MFNFg,"[ObjectId('69f43a54b1f44561851e904b'), ObjectId('69f43a6eb1f44561851e904c')]",Programming,Beginner,True,"[ObjectId('69f41fff0d390c859f5599bb'), ObjectId('69f420180d390c859f5599bc'), ObjectId('69f4202f0d390c859f5599bd'), ObjectId('69f4204b0d390c859f5599be'), ObjectId('69f4206b0d390c859f5599bf'), ObjectId('69f420800d390c859f5599c0')]"
Data Structures and Algorithms,Learn DSA for coding interviews with real problems,https://www.youtube.com/watch?v=8hly31xKli0,"[ObjectId('69f43a84b1f44561851e904d'), ObjectId('69f43a97b1f44561851e904e')]",Computer Science,Intermediate,True,"[ObjectId('69f420d10d390c859f5599c1'), ObjectId('69f420ed0d390c859f5599c2'), ObjectId('69f421070d390c859f5599c3'), ObjectId('69f421250d390c859f5599c4'), ObjectId('69f421530d390c859f5599c5'), ObjectId('69f4216f0d390c859f5599c6')]"
Python for Beginners,"Introduction to Python programming with hands on exercises,.",https://www.youtube.com/watch?v=rfscVS0vtbw,"[ObjectId('69f43aadb1f44561851e904f'), ObjectId('69f43adeb1f44561851e9050')]",Programming,Beginner,True,"[ObjectId('69f424c50d390c859f5599c7'), ObjectId('69f424f20d390c859f5599c8'), ObjectId('69f425120d390c859f5599c9'), ObjectId('69f425390d390c859f5599ca'), ObjectId('69f4255f0d390c859f5599cb'), ObjectId('69f425810d390c859f5599cc')]"
Machine Learning Basics,Introduction to ML concepts including regression classification and clustering,https://www.youtube.com/watch?v=NWONeJKn6kc,"[ObjectId('69f43af8b1f44561851e9051'), ObjectId('69f43b18b1f44561851e9052')]",AI,Intermediate,True,"[ObjectId('69f427f5b1f44561851e9021'), ObjectId('69f42816b1f44561851e9022'), ObjectId('69f4282fb1f44561851e9023'), ObjectId('69f42844b1f44561851e9024'), ObjectId('69f42861b1f44561851e9025'), ObjectId('69f4287db1f44561851e9026')]"
Deep Learning with TensorFlow,Learn neural networks CNN and deep learning using TensorFlow,https://www.youtube.com/watch?v=qFJeN9V1ZsI,"[ObjectId('69f43b31b1f44561851e9053'), ObjectId('69f43b5db1f44561851e9054')]",AI,Advanced,True,"[ObjectId('69f4289db1f44561851e9027'), ObjectId('69f428c2b1f44561851e9028'), ObjectId('69f428efb1f44561851e9029'), ObjectId('69f4290ab1f44561851e902a'), ObjectId('69f42928b1f44561851e902b'), ObjectId('69f42942b1f44561851e902c')]"
UI UX Design Fundamentals,Learn design principles wireframing and prototyping,https://www.youtube.com/watch?v=px71dGmt558,"[ObjectId('69f43b95b1f44561851e9055'), ObjectId('69f43bb8b1f44561851e9056')]",Design,Beginner,True,"[ObjectId('69f42967b1f44561851e902d'), ObjectId('69f429a2b1f44561851e902e'), ObjectId('69f42be7b1f44561851e902f'), ObjectId('69f42c30b1f44561851e9031'), ObjectId('69f42c6ab1f44561851e9032'), ObjectId('69f42c88b1f44561851e9033')]"
