student,completedCount,averageScore,recommendation,courses,quizScores,createdAt,updatedAt,__v
69e1f43beb24780c2f502f2c,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-17 08:50:03.789,2026-04-17 08:50:03.789,0
69e1f6a29a8574f2274db72b,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-17 09:00:18.861,2026-04-17 09:00:18.861,0
69e7342ef5b4fc4f8f3c09d1,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-21 08:24:14.968,2026-04-21 08:24:14.968,0
69e73470f5b4fc4f8f3c09eb,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-21 08:25:20.432,2026-04-21 08:25:20.432,0
69e73778f5b4fc4f8f3c0a1a,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-21 08:38:17.282,2026-04-21 08:38:17.282,0
69e73ffdf5b4fc4f8f3c0a67,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-21 09:14:37.711,2026-04-21 09:14:37.711,0
69e75d62f3eed3fddb7598c6,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-21 11:20:03.089,2026-04-21 11:20:03.089,0
69f1bf03fa9971f9e4c1573a,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-29 08:19:15.766,2026-04-29 08:19:15.766,0
69f1c070fa9971f9e4c15754,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-29 08:25:21.015,2026-04-29 08:25:21.015,0
69f1ca68fa9971f9e4c1578e,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-29 09:07:52.880,2026-04-29 09:07:52.880,0
69f1cb4bfa9971f9e4c157a6,0,0,Complete more courses and quizzes to get personalised AI recommendations!,[],[],2026-04-29 09:11:39.306,2026-04-29 09:11:39.306,0
